ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Toll-like Receptor Signaling Pathway%WikiPathways_20190910%WP75%Homo sapiens	Toll-like Receptor Signaling Pathway%WikiPathways_20190910%WP75%Homo sapiens	48/627	104/12465	6.93752961141645e-35	8.56469564754867e-33	5.86204655203897e-33	207/6348/6351/6352/929/958/1147/3627/6373/3576/4283/2353/3440/3551/8517/3593/3553/3569/3661/3725/3929/23643/5606/5603/1432/4615/4790/4792/5293/5294/5879/5970/6696/29110/148022/353376/114609/7096/7097/7098/7099/7100/10333/51284/51311/54106/7124/54472	48
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	36/627	62/12465	4.17259616766379e-31	4.72198799640619e-29	3.23193194390099e-29	329/330/59082/6356/6357/6347/6352/6354/6355/1147/2919/2920/3576/3551/8517/3606/3553/3569/5603/1432/4210/4671/4790/4792/58484/22861/114548/10392/64127/9051/29108/5970/8767/7124/7128/331	36
Chemokine signaling pathway%WikiPathways_20190910%WP3929%Homo sapiens	Chemokine signaling pathway%WikiPathways_20190910%WP3929%Homo sapiens	55/627	165/12465	6.13091406429419e-31	6.40444715331655e-29	4.3834794483982e-29	107/113/114/207/6346/6356/6359/6361/6363/6364/6366/6367/6369/6370/10344/6348/6351/6352/6354/1230/729230/1232/1233/1235/1236/1147/6376/3627/6373/10563/2921/6374/4283/3579/2833/7852/10663/3055/3551/8517/3717/4067/4790/4792/5196/5293/5294/5473/5580/5590/5879/5970/6774/6375/2829	55
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	53/627	153/12465	8.4539276451507e-31	8.20030981579618e-29	5.61264519599103e-29	177/351/329/330/695/929/4064/948/1147/2353/3146/3551/8517/3656/3661/3684/3689/3725/3929/9450/23643/5606/1432/5598/9261/4615/4790/4792/10392/64127/5970/8767/9252/6283/6279/6280/6288/59307/29110/148022/353376/114609/7096/81793/7097/7098/7099/7100/10333/51284/51311/54106/79155	53
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	47/627	139/12465	6.98194037082999e-27	6.32098334905808e-25	4.3263532262757e-25	177/240/351/1147/3146/3551/8517/3596/3606/8809/8807/3552/3553/84639/3554/7850/3556/9173/8808/3557/90865/27179/27177/56300/26525/27178/3565/3656/4615/4790/4792/10392/64127/5682/5687/5692/5771/5970/8767/6283/6288/59307/4088/6774/29110/79155/54472	47
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	45/627	127/12465	8.95525958407381e-27	7.60077657198265e-25	5.20229882416919e-25	177/351/329/330/695/929/4064/948/1147/2353/3146/3551/8517/3656/3661/3684/3689/3725/3929/9450/23643/5606/1432/5598/9261/4615/4790/4792/10392/64127/5970/8767/9252/6283/6288/59307/29110/148022/353376/114609/7096/7097/7099/10333/79155	45
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	78/627	403/12465	9.08824186293106e-26	7.25990144109434e-24	4.96898920431463e-24	107/113/114/134/140/183/186/301/335/336/348/351/623/624/718/719/727/728/814/6346/6357/6360/6363/6364/6366/6368/6370/6351/6352/1230/729230/1232/1233/1234/1235/1236/1268/1269/6376/2919/3627/6373/10563/2920/2921/6374/6372/3576/4283/3579/2833/7852/10663/2357/2358/2359/51083/2852/2840/63940/59340/3339/3827/3949/4023/4035/222236/4889/4988/5196/5473/5580/5588/5733/1903/6288/6382/56670	78
Fibrin Complement Receptor 3 Signaling Pathway%WikiPathways_20190910%WP4136%Homo sapiens	Fibrin Complement Receptor 3 Signaling Pathway%WikiPathways_20190910%WP4136%Homo sapiens	27/627	42/12465	2.4661014876e-25	1.860536566756e-23	1.27343135295368e-23	207/6347/929/1147/3627/2921/3551/8517/3593/3569/3656/3661/3684/3689/3929/23643/4615/4790/4843/6850/148022/353376/114609/7098/7099/7124/7305	27
Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	23/627	32/12465	1.69585839110849e-23	1.2120924711186e-21	8.29608287727866e-22	1147/3551/8517/3661/4615/4790/5966/5970/5971/29110/148022/353376/114609/7096/7097/7098/7099/7100/10333/51284/51311/54106/54472	23
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	REACTOME_DISEASES_OF_IMMUNE_SYSTEM	20/627	24/12465	7.06126531731359e-23	4.79459915045593e-21	3.28163014483574e-21	695/929/948/1147/3551/8517/23643/4615/4790/4792/5970/148022/114609/7096/81793/7097/7098/7099/7100/10333	20
Photodynamic therapy-induced NF-kB survival signaling%WikiPathways_20190910%WP3617%Homo sapiens	Photodynamic therapy-induced NF-kB survival signaling%WikiPathways_20190910%WP3617%Homo sapiens	23/627	35/12465	4.37334583247431e-22	2.82809697166672e-20	1.93567136344602e-20	329/330/959/1147/2920/3576/3383/3551/3552/3553/3558/3569/4314/4318/4790/5743/5966/5970/5971/6401/7124/7132/7412	23
Selective expression of chemokine receptors during T-cell polarization%WikiPathways_20190910%WP4494%Homo sapiens	Selective expression of chemokine receptors during T-cell polarization%WikiPathways_20190910%WP4494%Homo sapiens	21/627	29/12465	1.14985427171851e-21	7.09773682269881e-20	4.85799675563371e-20	6348/6351/1230/729230/1232/1233/1234/1236/940/959/2833/7852/3458/3459/3593/8809/3558/3565/3566/3567/7040	21
Allograft Rejection%WikiPathways_20190910%WP2328%Homo sapiens	Allograft Rejection%WikiPathways_20190910%WP2328%Homo sapiens	34/627	90/12465	1.48656106915378e-21	8.77717361700364e-20	6.00747562500133e-20	185/712/718/720/721/727/6363/6366/940/958/959/6373/10563/3576/4283/50943/3133/3458/3586/3593/3596/3605/3552/3553/3558/59067/50616/3559/3565/3567/120892/5590/7040/7124	34
Nucleotide-binding Oligomerization Domain (NOD) pathway%WikiPathways_20190910%WP1433%Homo sapiens	Nucleotide-binding Oligomerization Domain (NOD) pathway%WikiPathways_20190910%WP1433%Homo sapiens	24/627	41/12465	3.03880670643838e-21	1.71945812805972e-19	1.17687119376539e-19	9447/1147/3551/8517/3606/3553/4210/4671/4792/58484/22861/338322/91662/55655/114548/147945/199713/10392/64127/29108/5879/5970/8767/331	24
GPCRs, Class A Rhodopsin-like%WikiPathways_20190910%WP455%Homo sapiens	GPCRs, Class A Rhodopsin-like%WikiPathways_20190910%WP455%Homo sapiens	55/627	258/12465	2.0255629735756e-20	1.10028580724627e-18	7.53082991859898e-19	1238/134/135/136/140/185/186/623/624/719/27202/1230/729230/1232/1233/1234/1235/1236/9034/1240/1268/1269/3579/2833/7852/10800/1910/2149/2150/2867/2865/2357/2358/2359/2693/2852/2840/2854/8111/3269/1241/4142/4889/4988/5724/5729/5731/5732/5733/5734/5737/5739/56670/6915/2829	55
REACTOME_TOLL_LIKE_RECEPTOR_TLR1:TLR2_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_TLR1:TLR2_CASCADE	34/627	97/12465	2.4743995334577e-20	1.29239791016752e-18	8.84572788681438e-19	177/351/695/929/948/1147/2353/3146/3551/8517/3656/3725/23643/5606/1432/5598/9261/4615/4790/4792/10392/64127/5970/8767/9252/6283/6288/59307/114609/7096/7097/7099/10333/79155	34
Lung fibrosis%WikiPathways_20190910%WP3624%Homo sapiens	Lung fibrosis%WikiPathways_20190910%WP3624%Homo sapiens	28/627	63/12465	2.9267615617201e-20	1.47205266696885e-18	1.00753624132509e-18	6356/6347/6348/6351/6352/729230/1232/1051/1215/2920/3576/3082/3162/3479/3593/3596/3553/3565/3567/3569/4318/4780/5806/5265/6696/7040/7076/7124	28
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	26/627	54/12465	5.22631758490657e-20	2.53476402867969e-18	1.73490166446335e-18	9447/351/329/330/837/1147/1540/3551/8517/3656/83737/5603/1432/4210/4790/58484/22861/114548/10392/64127/5027/9051/29108/5970/8767/7128	26
Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	Spinal Cord Injury%WikiPathways_20190910%WP2431%Homo sapiens	36/627	120/12465	6.8752976131041e-19	3.21953591675702e-17	2.20358903534335e-17	199/301/727/6347/729230/961/2919/3627/2920/3576/1956/2353/2697/3383/3458/3552/3553/3554/3558/3565/3569/3952/1241/4282/4318/4843/50507/5320/5743/5879/5925/6403/6869/7040/7099/7124	36
IL1 and megakaryocytes in obesity%WikiPathways_20190910%WP2865%Homo sapiens	IL1 and megakaryocytes in obesity%WikiPathways_20190910%WP2865%Homo sapiens	18/627	25/12465	1.15965315558439e-18	5.24936328427869e-17	3.5928903030913e-17	6347/1232/2147/2149/3383/3458/3606/3553/3554/4318/4615/4790/114548/7941/6280/7076/7096/7097	18
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	32/627	95/12465	1.29889030574577e-18	5.68997753291212e-17	3.89446567053826e-17	177/351/929/1147/2353/3146/3551/8517/3656/3725/23643/5606/1432/5598/9261/4615/4790/4792/10392/64127/5970/8767/9252/6283/6288/148022/353376/7099/51284/51311/54106/79155	32
REACTOME_NEUTROPHIL_DEGRANULATION	REACTOME_NEUTROPHIL_DEGRANULATION	74/627	478/12465	1.63386991343034e-18	6.93373544512001e-17	4.74574714986511e-17	101/197/240/196527/566/2683/683/718/719/728/929/948/960/961/968/1116/1075/2919/3579/1535/1536/1991/2207/2357/2358/2896/79792/2950/3146/3240/3683/3684/3689/3848/4069/1432/4282/64386/4317/4318/150372/4790/4973/5004/5005/5023/8993/5473/5547/5580/5663/5724/5788/5806/29108/5879/6283/6279/6280/5265/12/140885/6556/8773/10312/353376/7097/7130/7133/54472/7305/201294/8673/8876	74
REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING	REACTOME_TRIF_TICAM1_MEDIATED_TLR4_SIGNALING	32/627	97/12465	2.64345281687674e-18	1.08782088646019e-16	7.44551463254278e-17	177/351/329/330/929/1147/2353/3146/3551/8517/3656/3661/3725/23643/5606/1432/5598/9261/4790/4792/10392/64127/5970/8767/9252/6283/6288/29110/148022/353376/7099/79155	32
Development and heterogeneity of the ILC family%WikiPathways_20190910%WP3893%Homo sapiens	Development and heterogeneity of the ILC family%WikiPathways_20190910%WP3893%Homo sapiens	19/627	32/12465	3.0821281731918e-17	1.23103825270425e-15	8.42575596572248e-16	2625/3458/3593/3596/3600/3605/3606/3553/50616/51561/64806/90865/3565/3567/3569/3578/6095/7124/85480	19
Peptide GPCRs%WikiPathways_20190910%WP24%Homo sapiens	Peptide GPCRs%WikiPathways_20190910%WP24%Homo sapiens	27/627	75/12465	9.51967393792901e-17	3.69363348791646e-15	2.52808183073423e-15	2532/185/186/623/624/719/728/1230/729230/1232/1233/1234/1235/1236/3579/2833/7852/10663/1910/2357/2358/2359/2693/4889/4988/255061/6869	27
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	38/627	155/12465	1.38583231261678e-16	5.22766744592664e-15	3.57804073696087e-15	207/1270/2056/3440/3458/3459/3586/3588/3593/3596/3600/3558/50604/53833/59067/50616/116379/51561/149233/3559/3565/3566/3567/3568/3569/3570/3572/3578/3717/3952/5008/9180/5293/5294/9021/9655/6774/85480	38
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	45/627	217/12465	2.04903218610316e-16	7.52050191548134e-15	5.14735539211691e-15	26090/183/185/301/351/623/624/695/6368/10800/1910/1956/2147/2149/2150/2867/2865/338557/2358/51738/2693/2840/8111/3269/3827/1241/56413/5598/11343/4314/8620/5580/5588/60675/5724/5731/5737/10125/6288/6863/6869/6915/6375/6846/2829	45
Signal transduction through IL1R%WikiPathways_20190910%WP4496%Homo sapiens	Signal transduction through IL1R%WikiPathways_20190910%WP4496%Homo sapiens	19/627	35/12465	3.12394408913371e-16	1.11639896659041e-14	7.64111532051264e-15	1147/3551/3552/3553/3554/3556/3557/3569/3656/3725/5606/1432/4615/4790/4792/5970/7040/7124/54472	19
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	26/627	72/12465	3.25777179486036e-16	1.1343728454924e-14	7.76413628842563e-15	718/1535/2353/3458/3459/3586/3593/3552/3553/3565/3684/3689/3717/3725/5603/1432/4615/4790/4792/4843/5743/5970/7040/7097/7099/7124	26
Platelet-mediated interactions with vascular and circulating cells%WikiPathways_20190910%WP4462%Homo sapiens	Platelet-mediated interactions with vascular and circulating cells%WikiPathways_20190910%WP4462%Homo sapiens	14/627	17/12465	3.41166563886922e-16	1.1582604843961e-14	7.92763357663559e-15	6347/6352/958/959/3383/3553/5196/6401/6403/7040/7097/7099/51284/7412	14
Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	Selenium Micronutrient Network%WikiPathways_20190910%WP15%Homo sapiens	29/627	92/12465	4.18907078052335e-16	1.38750198047578e-14	9.49666110193099e-15	240/335/6347/1401/2147/2678/728441/2876/2879/3383/3458/3553/3569/3630/3949/4790/7001/25824/5742/5743/5970/6288/6289/6291/55829/12/5054/6647/7124	29
Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	Folate Metabolism%WikiPathways_20190910%WP176%Homo sapiens	26/627	73/12465	4.82447268277879e-16	1.55991283409847e-14	1.06767152353225e-14	191/335/6347/1401/1435/2147/2350/2876/2879/3383/3458/3553/3558/3565/3569/3630/3949/4790/5970/6288/6289/6291/12/5054/6647/7124	26
IL17 signaling pathway%WikiPathways_20190910%WP2112%Homo sapiens	IL17 signaling pathway%WikiPathways_20190910%WP2112%Homo sapiens	18/627	32/12465	8.15987639209691e-16	2.57700282336456e-14	1.76381171461972e-14	207/1051/3551/8517/3605/27190/27189/53342/112744/23765/55540/84818/132014/64806/3717/4790/5970/6774	18
Cytokines and Inflammatory Response%WikiPathways_20190910%WP530%Homo sapiens	Cytokines and Inflammatory Response%WikiPathways_20190910%WP530%Homo sapiens	16/627	27/12465	1.08381950033509e-14	3.34506109421604e-13	2.28950387271744e-13	1435/2919/2920/3458/3586/3593/3596/3600/3552/3553/3558/3565/3567/3569/7040/7124	16
miRNAs involvement in the immune response in sepsis%WikiPathways_20190910%WP4329%Homo sapiens	miRNAs involvement in the immune response in sepsis%WikiPathways_20190910%WP4329%Homo sapiens	23/627	64/12465	1.93246416975896e-14	5.83174742785037e-13	3.9914990921571e-13	6348/6351/1147/3576/1991/3383/3551/8517/3586/3552/3569/1432/4615/4790/4792/5966/5970/5971/7099/51284/51311/7124/7412	23
REACTOME_MYD88_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	REACTOME_MYD88_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	26/627	84/12465	2.33002763671309e-14	6.87864680577473e-13	4.70804211262622e-13	177/351/1147/2353/3146/3551/8517/3656/3725/5606/1432/5598/9261/4615/4790/4792/10392/64127/5970/8767/9252/6283/6288/81793/7100/79155	26
Non-genomic actions of 1,25 dihydroxyvitamin D3%WikiPathways_20190910%WP4341%Homo sapiens	Non-genomic actions of 1,25 dihydroxyvitamin D3%WikiPathways_20190910%WP4341%Homo sapiens	24/627	71/12465	2.54491697942348e-14	7.19999428761894e-13	4.9279861684889e-13	6347/958/959/3576/2113/3440/3458/3551/3569/3725/5603/1432/5598/4790/64127/5580/5588/5590/5971/7097/7099/51311/7124/7132	24
REACTOME_INTERLEUKIN_17_SIGNALING	REACTOME_INTERLEUKIN_17_SIGNALING	24/627	71/12465	2.54491697942348e-14	7.19999428761894e-13	4.9279861684889e-13	1147/2353/3551/8517/3605/27189/112744/23765/55540/84818/132014/64806/3656/3725/5606/1432/5598/9261/4790/10392/64127/8767/9252/79155	24
Vitamin B12 Metabolism%WikiPathways_20190910%WP1533%Homo sapiens	Vitamin B12 Metabolism%WikiPathways_20190910%WP1533%Homo sapiens	21/627	53/12465	2.71974387280611e-14	7.53757587606264e-13	5.15904154605326e-13	335/348/6347/6352/1401/2147/3383/3458/3553/3569/3630/3949/4790/5970/6288/6289/6291/12/5054/6647/7124	21
AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	AGE/RAGE pathway%WikiPathways_20190910%WP2324%Homo sapiens	23/627	66/12465	4.17348023359916e-14	1.13351723144553e-12	7.75828009740644e-13	177/207/1147/1956/3091/3551/3630/3717/3725/1432/4318/4615/4790/4792/4843/5580/5590/5879/5970/4088/6647/6774/114609	23
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	12/627	15/12465	9.38512058803065e-14	2.49901838402855e-12	1.71043580582685e-12	10800/2840/1241/56413/5729/5731/5732/5733/5734/5737/5739/6915	12
IL-1 signaling pathway%WikiPathways_20190910%WP195%Homo sapiens	IL-1 signaling pathway%WikiPathways_20190910%WP195%Homo sapiens	21/627	57/12465	1.50794086330169e-13	3.93804556223788e-12	2.69536798035505e-12	207/6347/1147/3551/8517/3552/3553/3554/3556/3656/3725/5606/1432/9261/4615/4790/4792/5590/5966/5970/54472	21
Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	Hepatitis B infection%WikiPathways_20190910%WP4666%Homo sapiens	34/627	154/12465	1.56295897702254e-13	4.00471375622001e-12	2.74099856347746e-12	207/1147/84699/3576/2353/3339/3440/3551/8517/3569/3661/3717/3725/5606/5603/1432/4318/4615/4775/4776/4790/5293/5970/4088/6774/29110/7040/148022/353376/114609/7097/7098/7099/7124	34
T-Cell antigen Receptor (TCR)  Signaling Pathway%WikiPathways_20190910%WP69%Homo sapiens	T-Cell antigen Receptor (TCR)  Signaling Pathway%WikiPathways_20190910%WP69%Homo sapiens	26/627	91/12465	1.94059005839421e-13	4.8802246283321e-12	3.34023590947775e-12	207/1234/940/1147/2353/2625/3551/8517/3605/3552/3553/3569/3578/3725/27040/1432/4790/4792/4988/5580/5588/9051/5966/5970/8767/7040	26
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	45/627	260/12465	2.16382869279162e-13	5.34268975420186e-12	3.6567669583445e-12	26090/197/207/335/351/948/66005/1191/1893/2147/2149/2157/2207/2335/3082/3479/3700/3827/27040/4067/1432/11343/5004/5005/5196/5294/5473/5580/5588/5590/5879/5919/10125/6403/5265/12/5054/5345/6647/6850/6915/7040/7057/7076/7114	45
Human Complement System%WikiPathways_20190910%WP2806%Homo sapiens	Human Complement System%WikiPathways_20190910%WP2806%Homo sapiens	27/627	99/12465	2.31309950429158e-13	5.60926629790709e-12	3.83922342535614e-12	9370/133/325/335/718/719/720/727/728/27202/958/1401/1991/2161/2357/3383/3673/3689/3818/4153/5806/6223/6401/6403/6696/7057/7097	27
Simplified Depiction of MYD88 Distinct Input-Output Pathway%WikiPathways_20190910%WP3877%Homo sapiens	Simplified Depiction of MYD88 Distinct Input-Output Pathway%WikiPathways_20190910%WP3877%Homo sapiens	13/627	19/12465	2.40001764547822e-13	5.71793677642005e-12	3.91360218089986e-12	3552/3725/4615/4790/7096/81793/7097/7099/7100/10333/51284/51311/54106	13
REACTOME_INTERLEUKIN_1_SIGNALING	REACTOME_INTERLEUKIN_1_SIGNALING	27/627	102/12465	5.09810853368234e-13	1.19366058426562e-11	8.16992710570147e-12	177/351/1147/3146/3551/8517/3552/3553/3554/7850/3556/3557/3656/4615/4790/4792/10392/64127/5682/5687/5692/5970/8767/6283/6288/79155/54472	27
REACTOME_IRAK4_DEFICIENCY_TLR2_4	REACTOME_IRAK4_DEFICIENCY_TLR2_4	10/627	11/12465	1.01712177794726e-12	2.34110402449557e-11	1.60235241735492e-11	695/929/948/23643/4615/114609/7096/7097/7099/10333	10
Cells and Molecules involved in local acute inflammatory response %WikiPathways_20190910%WP4493%Homo sapiens	Cells and Molecules involved in local acute inflammatory response %WikiPathways_20190910%WP4493%Homo sapiens	12/627	17/12465	1.16273963471068e-12	2.63166737322851e-11	1.80122648675356e-11	718/727/3576/3383/3552/3569/3683/3689/3827/6403/7124/7412	12
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	22/627	69/12465	1.19982206455006e-12	2.67107928468686e-11	1.82820169628594e-11	623/624/712/718/719/720/721/727/728/2161/2147/2149/2152/2157/3818/3827/4153/5624/5265/462/5054/5345	22
Adipogenesis%WikiPathways_20190910%WP236%Homo sapiens	Adipogenesis%WikiPathways_20190910%WP236%Homo sapiens	30/627	131/12465	1.57463036872003e-12	3.4489484527771e-11	2.36060885497417e-11	9370/183/650/1050/1051/56603/2625/3091/3479/3569/3572/3630/3952/4023/4282/10135/10062/5008/5465/5467/5468/5740/5925/6095/5054/4088/9021/6774/7040/7124	30
