nodes	nodes2	type
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Pathway
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	Pathway
REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION	Pathway
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	Pathway
REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	REACTOME_FCERI_MEDIATED_CAPLUS2_MOBILIZATION	Pathway
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION	Pathway
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	Pathway
REACTOME_PD_1_SIGNALING	REACTOME_PD_1_SIGNALING	Pathway
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	REACTOME_SYNTHESIS_OF_GDP_MANNOSE	Pathway
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	Pathway
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	Pathway
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	Pathway
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	Pathway
REACTOME_CD22_MEDIATED_BCR_REGULATION	REACTOME_CD22_MEDIATED_BCR_REGULATION	Pathway
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	Pathway
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	Pathway
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Pathway
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Pathway
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Pathway
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION	Pathway
REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	REACTOME_WAX_AND_PLASMALOGEN_BIOSYNTHESIS	Pathway
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	Pathway
mRNA Processing%WikiPathways_20190910%WP411%Homo sapiens	mRNA Processing%WikiPathways_20190910%WP411%Homo sapiens	Pathway
Electron Transport Chain (OXPHOS system in mitochondria)%WikiPathways_20190910%WP111%Homo sapiens	Electron Transport Chain (OXPHOS system in mitochondria)%WikiPathways_20190910%WP111%Homo sapiens	Pathway
Oxidative phosphorylation%WikiPathways_20190910%WP623%Homo sapiens	Oxidative phosphorylation%WikiPathways_20190910%WP623%Homo sapiens	Pathway
RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	RAC1/PAK1/p38/MMP2 Pathway%WikiPathways_20190910%WP3303%Homo sapiens	Pathway
Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	Metabolism of Spingolipids in ER and Golgi apparatus%WikiPathways_20190910%WP4142%Homo sapiens	Pathway
Urea cycle and metabolism of amino groups%WikiPathways_20190910%WP497%Homo sapiens	Urea cycle and metabolism of amino groups%WikiPathways_20190910%WP497%Homo sapiens	Pathway
Sphingolipid pathway%WikiPathways_20190910%WP1422%Homo sapiens	Sphingolipid pathway%WikiPathways_20190910%WP1422%Homo sapiens	Pathway
ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	ncRNAs involved in Wnt signaling in hepatocellular carcinoma%WikiPathways_20190910%WP4336%Homo sapiens	Pathway
Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	Toll-like Receptor Signaling%WikiPathways_20190910%WP3858%Homo sapiens	Pathway
Novel intracellular components of RIG-I-like receptor (RLR) pathway%WikiPathways_20190910%WP3865%Homo sapiens	Novel intracellular components of RIG-I-like receptor (RLR) pathway%WikiPathways_20190910%WP3865%Homo sapiens	Pathway
MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	MAPK Signaling Pathway%WikiPathways_20190910%WP382%Homo sapiens	Pathway
Wnt Signaling%WikiPathways_20190910%WP428%Homo sapiens	Wnt Signaling%WikiPathways_20190910%WP428%Homo sapiens	Pathway
LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	LncRNA involvement in canonical Wnt signaling and colorectal cancer%WikiPathways_20190910%WP4258%Homo sapiens	Pathway
Breast cancer pathway%WikiPathways_20190910%WP4262%Homo sapiens	Breast cancer pathway%WikiPathways_20190910%WP4262%Homo sapiens	Pathway
Mitochondrial complex I assembly model OXPHOS system%WikiPathways_20190910%WP4324%Homo sapiens	Mitochondrial complex I assembly model OXPHOS system%WikiPathways_20190910%WP4324%Homo sapiens	Pathway
Nonalcoholic fatty liver disease%WikiPathways_20190910%WP4396%Homo sapiens	Nonalcoholic fatty liver disease%WikiPathways_20190910%WP4396%Homo sapiens	Pathway
Biomarkers for urea cycle disorders%WikiPathways_20190910%WP4583%Homo sapiens	Biomarkers for urea cycle disorders%WikiPathways_20190910%WP4583%Homo sapiens	Pathway
29796	UQCR10	Gene
4698	NDUFA5	Gene
4697	NDUFA4	Gene
27068	PPA2	Gene
9551	ATP5MF	Gene
374291	NDUFS7	Gene
4519	MT-CYB	Gene
535	ATP6V0A1	Gene
534	ATP6V1G2	Gene
533	ATP6V0B	Gene
539	ATP5PO	Gene
4513	MT-CO2	Gene
4512	MT-CO1	Gene
537	ATP6AP1	Gene
341947	COX8C	Gene
4514	MT-CO3	Gene
1329	COX5B	Gene
1327	COX4I1	Gene
50617	ATP6V0A4	Gene
479	ATP12A	Gene
4508	MT-ATP6	Gene
4509	MT-ATP8	Gene
10476	ATP5PD	Gene
4695	NDUFA2	Gene
4696	NDUFA3	Gene
4694	NDUFA1	Gene
27089	UQCRQ	Gene
51606	ATP6V1H	Gene
513	ATP5F1D	Gene
64077	LHPP	Gene
245972	ATP6V0D2	Gene
9167	COX7A2L	Gene
518	ATP5MC3	Gene
245973	ATP6V1C2	Gene
517	ATP5MC2	Gene
516	ATP5MC1	Gene
515	ATP5PB	Gene
514	ATP5F1E	Gene
9377	COX5A	Gene
10312	TCIRG1	Gene
440567	UQCRHL	Gene
496	ATP4B	Gene
51382	ATP6V1D	Gene
495	ATP4A	Gene
498	ATP5F1A	Gene
522	ATP5PF	Gene
521	ATP5ME	Gene
6389	SDHA	Gene
523	ATP6V1A	Gene
529	ATP6V1E1	Gene
56901	NDUFA4L2	Gene
526	ATP6V1B2	Gene
525	ATP6V1B1	Gene
528	ATP6V1C1	Gene
527	ATP6V0C	Gene
1352	COX10	Gene
1351	COX8A	Gene
1350	COX7C	Gene
6392	SDHD	Gene
6390	SDHB	Gene
6391	SDHC	Gene
127124	ATP6V1G3	Gene
1349	COX7B	Gene
1346	COX7A1	Gene
1347	COX7A2	Gene
1345	COX6C	Gene
10063	COX17	Gene
506	ATP5F1B	Gene
1340	COX6B1	Gene
509	ATP5F1C	Gene
9296	ATP6V1F	Gene
170712	COX7B2	Gene
23545	ATP6V0A2	Gene
7381	UQCRB	Gene
9114	ATP6V0D1	Gene
1339	COX6A2	Gene
1337	COX6A1	Gene
7388	UQCRH	Gene
7386	UQCRFS1	Gene
7385	UQCRC2	Gene
7384	UQCRC1	Gene
4709	NDUFB3	Gene
4707	NDUFB1	Gene
4708	NDUFB2	Gene
4705	NDUFA10	Gene
4706	NDUFAB1	Gene
155066	ATP6V0E2	Gene
4541	MT-ND6	Gene
4704	NDUFA9	Gene
4540	MT-ND5	Gene
4701	NDUFA7	Gene
4702	NDUFA8	Gene
10975	UQCR11	Gene
4700	NDUFA6	Gene
4731	NDUFV3	Gene
90423	ATP6V1E2	Gene
4538	MT-ND4	Gene
4539	MT-ND4L	Gene
4536	MT-ND2	Gene
125965	COX6B2	Gene
5464	PPA1	Gene
4537	MT-ND3	Gene
84701	COX4I2	Gene
4535	MT-ND1	Gene
10632	ATP5MG	Gene
8992	ATP6V0E1	Gene
126328	NDUFA11	Gene
4716	NDUFB10	Gene
4728	NDUFS8	Gene
4717	NDUFC1	Gene
4718	NDUFC2	Gene
4719	NDUFS1	Gene
4729	NDUFV2	Gene
4712	NDUFB6	Gene
4724	NDUFS4	Gene
4713	NDUFB7	Gene
4723	NDUFV1	Gene
4714	NDUFB8	Gene
4726	NDUFS6	Gene
4715	NDUFB9	Gene
4725	NDUFS5	Gene
4720	NDUFS2	Gene
4710	NDUFB4	Gene
4722	NDUFS3	Gene
4711	NDUFB5	Gene
1537	CYC1	Gene
1353	COX11	Gene
1355	COX15	Gene
211	ALAS1	Gene
212	ALAS2	Gene
132158	GLYCTK	Gene
4129	MAOB	Gene
64902	AGXT2	Gene
4128	MAOA	Gene
314	AOC2	Gene
2628	GATM	Gene
10993	SDS	Gene
8639	AOC3	Gene
27232	GNMT	Gene
6470	SHMT1	Gene
23464	GCAT	Gene
26227	PHGDH	Gene
29958	DMGDH	Gene
6472	SHMT2	Gene
63826	SRR	Gene
29968	PSAT1	Gene
635	BHMT	Gene
2731	GLDC	Gene
1738	DLD	Gene
2593	GAMT	Gene
5723	PSPH	Gene
189	AGXT	Gene
1757	SARDH	Gene
275	AMT	Gene
55349	CHDH	Gene
875	CBS	Gene
1491	CTH	Gene
51268	PIPOX	Gene
1610	DAO	Gene
316	AOX1	Gene
219	ALDH1B1	Gene
35	ACADS	Gene
36	ACADSB	Gene
18	ABAT	Gene
217	ALDH2	Gene
34	ACADM	Gene
39	ACAT2	Gene
3028	HSD17B10	Gene
38	ACAT1	Gene
5019	OXCT1	Gene
10449	ACAA2	Gene
259307	IL4I1	Gene
3033	HADH	Gene
84693	MCEE	Gene
3032	HADHB	Gene
1629	DBT	Gene
3030	HADHA	Gene
4329	ALDH6A1	Gene
3155	HMGCL	Gene
3712	IVD	Gene
594	BCKDHB	Gene
27034	ACAD8	Gene
1892	ECHS1	Gene
223	ALDH9A1	Gene
224	ALDH3A2	Gene
5096	PCCB	Gene
26275	HIBCH	Gene
3158	HMGCS2	Gene
1962	EHHADH	Gene
3157	HMGCS1	Gene
5095	PCCA	Gene
501	ALDH7A1	Gene
11112	HIBADH	Gene
30	ACAA1	Gene
64064	OXCT2	Gene
4594	MMUT	Gene
64087	MCCC2	Gene
586	BCAT1	Gene
549	AUH	Gene
587	BCAT2	Gene
593	BCKDHA	Gene
56922	MCCC1	Gene
6723	SRM	Gene
113451	AZIN2	Gene
2747	GLUD2	Gene
27165	GLS2	Gene
383	ARG1	Gene
384	ARG2	Gene
2746	GLUD1	Gene
2744	GLS	Gene
435	ASL	Gene
548596	CKMT1A	Gene
8974	P4HA2	Gene
6611	SMS	Gene
1152	CKB	Gene
4846	NOS3	Gene
4843	NOS2	Gene
4842	NOS1	Gene
2806	GOT2	Gene
2752	GLUL	Gene
5033	P4HA1	Gene
26	AOC1	Gene
51056	LAP3	Gene
79814	AGMAT	Gene
2805	GOT1	Gene
5831	PYCR1	Gene
445	ASS1	Gene
5832	ALDH18A1	Gene
6303	SAT1	Gene
162417	NAGS	Gene
262	AMD1	Gene
1373	CPS1	Gene
283208	P4HA3	Gene
5009	OTC	Gene
58510	PRODH2	Gene
4942	OAT	Gene
1158	CKM	Gene
95	ACY1	Gene
112483	SAT2	Gene
1159	CKMT1B	Gene
65263	PYCR3	Gene
5625	PRODH	Gene
8659	ALDH4A1	Gene
1160	CKMT2	Gene
29920	PYCR2	Gene
4953	ODC1	Gene
9955	HS3ST3A1	Gene
10855	HPSE	Gene
60495	HPSE2	Gene
2720	GLB1	Gene
2990	GUSB	Gene
8372	HYAL3	Gene
2799	GNS	Gene
23553	HYAL4	Gene
3373	HYAL1	Gene
8692	HYAL2	Gene
6677	SPAM1	Gene
138050	HGSNAT	Gene
2588	GALNS	Gene
3425	IDUA	Gene
9953	HS3ST3B1	Gene
6448	SGSH	Gene
3074	HEXB	Gene
4669	NAGLU	Gene
3073	HEXA	Gene
3423	IDS	Gene
411	ARSB	Gene
129642	MBOAT2	Gene
57678	GPAM	Gene
9388	LIPG	Gene
8525	DGKZ	Gene
8526	DGKE	Gene
8527	DGKD	Gene
160851	DGKH	Gene
154141	MBOAT1	Gene
2710	GK	Gene
84649	DGAT2	Gene
2712	GK2	Gene
2717	GLA	Gene
55750	AGK	Gene
26007	TKFC	Gene
56894	AGPAT3	Gene
158835	AWAT2	Gene
56895	AGPAT4	Gene
231	AKR1B1	Gene
5408	PNLIPRP2	Gene
5407	PNLIPRP1	Gene
5406	PNLIP	Gene
8694	DGAT1	Gene
4023	LPL	Gene
1609	DGKQ	Gene
1607	DGKB	Gene
1608	DGKG	Gene
10327	AKR1A1	Gene
1606	DGKA	Gene
8613	PLPP3	Gene
3990	LIPC	Gene
9162	DGKI	Gene
253558	LCLAT1	Gene
84803	GPAT3	Gene
11343	MGLL	Gene
137964	GPAT4	Gene
80339	PNPLA3	Gene
8611	PLPP1	Gene
8612	PLPP2	Gene
10554	AGPAT1	Gene
10555	AGPAT2	Gene
1056	CEL	Gene
150763	GPAT2	Gene
8513	LIPF	Gene
9514	GAL3ST1	Gene
130367	SGPP2	Gene
2581	GALC	Gene
166929	SGMS2	Gene
2629	GBA	Gene
56848	SPHK2	Gene
4759	NEU2	Gene
4758	NEU1	Gene
340485	ACER2	Gene
7357	UGCG	Gene
123099	DEGS2	Gene
410	ARSA	Gene
8877	SPHK1	Gene
8879	SGPL1	Gene
10825	NEU3	Gene
55627	SMPD4	Gene
259230	SGMS1	Gene
55331	ACER3	Gene
64781	CERK	Gene
6610	SMPD2	Gene
339221	ENPP7	Gene
8560	DEGS1	Gene
81537	SGPP1	Gene
129807	NEU4	Gene
125981	ACER1	Gene
427	ASAH1	Gene
6609	SMPD1	Gene
9331	B4GALT6	Gene
9517	SPTLC2	Gene
10558	SPTLC1	Gene
55512	SMPD3	Gene
2531	KDSR	Gene
7368	UGT8	Gene
56624	ASAH2	Gene
3725	JUN	Gene
4208	MEF2C	Gene
2005	ELK4	Gene
2002	ELK1	Gene
3727	JUND	Gene
4616	GADD45B	Gene
51776	MAP3K20	Gene
3925	STMN1	Gene
22800	RRAS2	Gene
4217	MAP3K5	Gene
4214	MAP3K1	Gene
4215	MAP3K3	Gene
4216	MAP3K4	Gene
6885	MAP3K7	Gene
1326	MAP3K8	Gene
207	AKT1	Gene
208	AKT2	Gene
409	ARRB2	Gene
929	CD14	Gene
408	ARRB1	Gene
4893	NRAS	Gene
80824	DUSP16	Gene
63928	CHP2	Gene
25780	RASGRP3	Gene
4791	NFKB2	Gene
4790	NFKB1	Gene
4609	MYC	Gene
4776	NFATC4	Gene
1432	MAPK14	Gene
2318	FLNC	Gene
2316	FLNA	Gene
3845	KRAS	Gene
2317	FLNB	Gene
5613	PRKX	Gene
7189	TRAF6	Gene
7042	TGFB2	Gene
1843	DUSP1	Gene
1844	DUSP2	Gene
7040	TGFB1	Gene
7186	TRAF2	Gene
627	BDNF	Gene
23118	TAB2	Gene
51295	ECSIT	Gene
7048	TGFBR2	Gene
1849	DUSP7	Gene
7046	TGFBR1	Gene
1847	DUSP5	Gene
1848	DUSP6	Gene
1845	DUSP3	Gene
7043	TGFB3	Gene
123745	PLA2G4E	Gene
1846	DUSP4	Gene
27091	CACNG5	Gene
27092	CACNG4	Gene
4763	NF1	Gene
81579	PLA2G12A	Gene
4773	NFATC2	Gene
115727	RASGRP4	Gene
10746	MAP3K2	Gene
4149	MAX	Gene
11221	DUSP10	Gene
2254	FGF9	Gene
2253	FGF8	Gene
2252	FGF7	Gene
2251	FGF6	Gene
2250	FGF5	Gene
2248	FGF3	Gene
2249	FGF4	Gene
2246	FGF1	Gene
2247	FGF2	Gene
84867	PTPN5	Gene
26291	FGF21	Gene
7850	IL1R2	Gene
5601	MAPK9	Gene
55799	CACNA2D3	Gene
5602	MAPK10	Gene
5600	MAPK11	Gene
10235	RASGRP2	Gene
5320	PLA2G2A	Gene
5605	MAP2K2	Gene
5321	PLA2G4A	Gene
5606	MAP2K3	Gene
2122	MECOM	Gene
5322	PLA2G5	Gene
5603	MAPK13	Gene
5604	MAP2K1	Gene
2263	FGFR2	Gene
5609	MAP2K7	Gene
5922	RASA2	Gene
23542	MAPK8IP2	Gene
5923	RASGRF1	Gene
5607	MAP2K5	Gene
5924	RASGRF2	Gene
2264	FGFR4	Gene
5608	MAP2K6	Gene
23162	MAPK8IP3	Gene
9064	MAP3K6	Gene
836	CASP3	Gene
7786	MAP3K12	Gene
2261	FGFR3	Gene
2260	FGFR1	Gene
5921	RASA1	Gene
2259	FGF14	Gene
6196	RPS6KA2	Gene
6197	RPS6KA3	Gene
8822	FGF17	Gene
8823	FGF16	Gene
2255	FGF10	Gene
2885	GRB2	Gene
2256	FGF11	Gene
2257	FGF12	Gene
2258	FGF13	Gene
5319	PLA2G1B	Gene
6195	RPS6KA1	Gene
7867	MAPKAPK3	Gene
8517	IKBKG	Gene
3265	HRAS	Gene
10369	CACNG2	Gene
8074	FGF23	Gene
10368	CACNG3	Gene
2872	MKNK2	Gene
8817	FGF18	Gene
6789	STK4	Gene
6788	STK3	Gene
9479	MAPK8IP1	Gene
4342	MOS	Gene
5906	RAP1A	Gene
4137	MAPT	Gene
5908	RAP1B	Gene
5532	PPP3CB	Gene
5530	PPP3CA	Gene
8912	CACNA1H	Gene
8913	CACNA1G	Gene
8911	CACNA1I	Gene
468	ATF4	Gene
10454	TAB1	Gene
2353	FOS	Gene
9344	TAOK2	Gene
27330	RPS6KA6	Gene
5535	PPP3R2	Gene
59283	CACNG8	Gene
5536	PPP5C	Gene
5533	PPP3CC	Gene
59285	CACNG6	Gene
5534	PPP3R1	Gene
59284	CACNG7	Gene
6416	MAP2K4	Gene
1386	ATF2	Gene
5159	PDGFRB	Gene
8681	JMJD7-PLA2G4B	Gene
8491	MAP4K3	Gene
8398	PLA2G6	Gene
30814	PLA2G2E	Gene
8399	PLA2G10	Gene
9448	MAP4K4	Gene
9252	RPS6KA5	Gene
673	BRAF	Gene
3551	IKBKB	Gene
100137049	PLA2G4B	Gene
4296	MAP3K11	Gene
9254	CACNA2D2	Gene
3552	IL1A	Gene
64600	PLA2G2F	Gene
1616	DAXX	Gene
10000	AKT3	Gene
10912	GADD45G	Gene
26281	FGF20	Gene
5971	RELB	Gene
8550	MAPKAPK5	Gene
6300	MAPK12	Gene
5970	RELA	Gene
2768	GNA12	Gene
3312	HSPA8	Gene
3315	HSPB1	Gene
5801	PTPRR	Gene
8649	LAMTOR3	Gene
1647	GADD45A	Gene
4803	NGF	Gene
1649	DDIT3	Gene
9020	MAP3K14	Gene
57551	TAOK1	Gene
