ID	GOterm
BMP Signaling Pathway in Eyelid Development WikiPathways 20190910 WP3927 Homo sapiens	GO0006915
LncRNA involvement in canonical Wnt signaling and colorectal cancer WikiPathways 20190910 WP4258 Homo sapiens	GO0006915
Microglia Pathogen Phagocytosis Pathway WikiPathways 20190910 WP3937 Homo sapiens	GO0006915
Mammary gland development pathway   Involution  Stage 4 of 4  WikiPathways 20190910 WP2815 Homo sapiens	GO0006915
REACTOME IRS MEDIATED SIGNALLING	GO0006915
KEGG ALZHEIMERS DISEASE	GO0006915
REACTOME RAF ACTIVATION	GO0006915
Phytochemical activity on NRF2 transcriptional activation WikiPathways 20190910 WP3 Homo sapiens	GO0006915
REACTOME SIGNALING BY EGFR	GO0006915
REACTOME DISEASES OF IMMUNE SYSTEM	GO0006915
REACTOME GROWTH HORMONE RECEPTOR SIGNALING	GO0006915
REACTOME SIGNALING BY EGFR IN CANCER	GO0006915
REACTOME GASTRIN CREB SIGNALLING PATHWAY VIA PKC AND MAPK	GO0006915
Mesodermal Commitment Pathway WikiPathways 20190910 WP2857 Homo sapiens	GO0006915
Regulatory circuits of the STAT3 signaling pathway WikiPathways 20190910 WP4538 Homo sapiens	GO0006915
REACTOME TRANSCRIPTIONAL REGULATION BY THE AP 2 TFAP2 FAMILY OF TRANSCRIPTION FACTORS	GO0006915
REACTOME DEACTIVATION OF THE BETA CATENIN TRANSACTIVATING COMPLEX	GO0006915
REACTOME SIGNALING BY RAS MUTANTS	GO0006915
REACTOME INTERLEUKIN 10 SIGNALING	GO0006915
Structural Pathway of Interleukin 1  IL 1  WikiPathways 20190910 WP2637 Homo sapiens	GO0006915
 Control of immune tolerance by vasoactive intestinal peptide WikiPathways 20190910 WP4484 Homo sapiens	GO0006915
REACTOME CHK1 CHK2 CDS1 MEDIATED INACTIVATION OF CYCLIN B CDK1 COMPLEX	GO0006915
Cytosolic DNA sensing pathway WikiPathways 20190910 WP4655 Homo sapiens	GO0006915
REACTOME CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR MEDIATED ACTIVATION OF RAS SIGNALING	GO0006915
REACTOME ESR MEDIATED SIGNALING	GO0006915
