nodes	nodes2	type
REACTOME FRS MEDIATED FGFR1 SIGNALING	REACTOME FRS MEDIATED FGFR1 SIGNALING	Pathway
REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	REACTOME CONSTITUTIVE SIGNALING BY AKT1 E17K IN CANCER	Pathway
REACTOME HDR THROUGH SINGLE STRAND ANNEALING SSA	REACTOME HDR THROUGH SINGLE STRAND ANNEALING SSA	Pathway
REACTOME HDR THROUGH HOMOLOGOUS RECOMBINATION HRR	REACTOME HDR THROUGH HOMOLOGOUS RECOMBINATION HRR	Pathway
REACTOME RESOLUTION OF D LOOP STRUCTURES	REACTOME RESOLUTION OF D LOOP STRUCTURES	Pathway
REACTOME RESOLUTION OF D LOOP STRUCTURES THROUGH SYNTHESIS DEPENDENT STRAND ANNEALING SDSA	REACTOME RESOLUTION OF D LOOP STRUCTURES THROUGH SYNTHESIS DEPENDENT STRAND ANNEALING SDSA	Pathway
REACTOME HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE	REACTOME HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE	Pathway
REACTOME DNA DAMAGE RECOGNITION IN GG NER	REACTOME DNA DAMAGE RECOGNITION IN GG NER	Pathway
REACTOME INTERLEUKIN 6 FAMILY SIGNALING	REACTOME INTERLEUKIN 6 FAMILY SIGNALING	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES	REACTOME TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST	Pathway
REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G1 CELL CYCLE ARREST	REACTOME TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G1 CELL CYCLE ARREST	Pathway
REACTOME REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION	REACTOME REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION	Pathway
REACTOME RNA POLYMERASE I PROMOTER ESCAPE	REACTOME RNA POLYMERASE I PROMOTER ESCAPE	Pathway
REACTOME TRANSCRIPTIONAL REGULATION BY RUNX1	REACTOME TRANSCRIPTIONAL REGULATION BY RUNX1	Pathway
REACTOME ESR MEDIATED SIGNALING	REACTOME ESR MEDIATED SIGNALING	Pathway
REACTOME SIGNALING BY NUCLEAR RECEPTORS	REACTOME SIGNALING BY NUCLEAR RECEPTORS	Pathway
REACTOME EXTRA NUCLEAR ESTROGEN SIGNALING	REACTOME EXTRA NUCLEAR ESTROGEN SIGNALING	Pathway
REACTOME INTERLEUKIN RECEPTOR SHC SIGNALING	REACTOME INTERLEUKIN RECEPTOR SHC SIGNALING	Pathway
REACTOME REGULATION OF LOCALIZATION OF FOXO TRANSCRIPTION FACTORS	REACTOME REGULATION OF LOCALIZATION OF FOXO TRANSCRIPTION FACTORS	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL DEATH GENES	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS METABOLIC AND NEURONAL GENES	REACTOME FOXO MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS METABOLIC AND NEURONAL GENES	Pathway
REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	REACTOME REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION	Pathway
REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL CYCLE GENES	REACTOME FOXO MEDIATED TRANSCRIPTION OF CELL CYCLE GENES	Pathway
DNA Replication WikiPathways 20190910 WP466 Homo sapiens	DNA Replication WikiPathways 20190910 WP466 Homo sapiens	Pathway
Angiopoietin Like Protein 8 Regulatory Pathway WikiPathways 20190910 WP3915 Homo sapiens	Angiopoietin Like Protein 8 Regulatory Pathway WikiPathways 20190910 WP3915 Homo sapiens	Pathway
DNA Damage Response WikiPathways 20190910 WP707 Homo sapiens	DNA Damage Response WikiPathways 20190910 WP707 Homo sapiens	Pathway
Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	Gastric Cancer Network 1 WikiPathways 20190910 WP2361 Homo sapiens	Pathway
Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Kit receptor signaling pathway WikiPathways 20190910 WP304 Homo sapiens	Pathway
IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	IL 5 Signaling Pathway WikiPathways 20190910 WP127 Homo sapiens	Pathway
miRNA regulation of p53 pathway in prostate cancer WikiPathways 20190910 WP3982 Homo sapiens	miRNA regulation of p53 pathway in prostate cancer WikiPathways 20190910 WP3982 Homo sapiens	Pathway
Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Overview of leukocyte intrinsic Hippo pathway functions WikiPathways 20190910 WP4542 Homo sapiens	Pathway
NAD metabolism  sirtuins and aging WikiPathways 20190910 WP3630 Homo sapiens	NAD metabolism  sirtuins and aging WikiPathways 20190910 WP3630 Homo sapiens	Pathway
Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Lung fibrosis WikiPathways 20190910 WP3624 Homo sapiens	Pathway
Insulin Signaling WikiPathways 20190910 WP481 Homo sapiens	Insulin Signaling WikiPathways 20190910 WP481 Homo sapiens	Pathway
DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	DNA IR damage and cellular response via ATR WikiPathways 20190910 WP4016 Homo sapiens	Pathway
Leptin signaling pathway WikiPathways 20190910 WP2034 Homo sapiens	Leptin signaling pathway WikiPathways 20190910 WP2034 Homo sapiens	Pathway
Gastric Cancer Network 2 WikiPathways 20190910 WP2363 Homo sapiens	Gastric Cancer Network 2 WikiPathways 20190910 WP2363 Homo sapiens	Pathway
Alpha 6 Beta 4 signaling pathway WikiPathways 20190910 WP244 Homo sapiens	Alpha 6 Beta 4 signaling pathway WikiPathways 20190910 WP244 Homo sapiens	Pathway
ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	ATM Signaling Network in Development and Disease  WikiPathways 20190910 WP3878 Homo sapiens	Pathway
miRNA Regulation of DNA Damage Response WikiPathways 20190910 WP1530 Homo sapiens	miRNA Regulation of DNA Damage Response WikiPathways 20190910 WP1530 Homo sapiens	Pathway
Regulation of Apoptosis by Parathyroid Hormone related Protein WikiPathways 20190910 WP3872 Homo sapiens	Regulation of Apoptosis by Parathyroid Hormone related Protein WikiPathways 20190910 WP3872 Homo sapiens	Pathway
IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	IL 2 Signaling Pathway WikiPathways 20190910 WP49 Homo sapiens	Pathway
DNA IR Double Strand Breaks  DSBs  and cellular response via ATM WikiPathways 20190910 WP3959 Homo sapiens	DNA IR Double Strand Breaks  DSBs  and cellular response via ATM WikiPathways 20190910 WP3959 Homo sapiens	Pathway
G13 Signaling Pathway WikiPathways 20190910 WP524 Homo sapiens	G13 Signaling Pathway WikiPathways 20190910 WP524 Homo sapiens	Pathway
Endometrial cancer WikiPathways 20190910 WP4155 Homo sapiens	Endometrial cancer WikiPathways 20190910 WP4155 Homo sapiens	Pathway
G1 to S cell cycle control WikiPathways 20190910 WP45 Homo sapiens	G1 to S cell cycle control WikiPathways 20190910 WP45 Homo sapiens	Pathway
Integrated Cancer Pathway WikiPathways 20190910 WP1971 Homo sapiens	Integrated Cancer Pathway WikiPathways 20190910 WP1971 Homo sapiens	Pathway
Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	Cell Cycle WikiPathways 20190910 WP179 Homo sapiens	Pathway
Retinoblastoma Gene in Cancer WikiPathways 20190910 WP2446 Homo sapiens	Retinoblastoma Gene in Cancer WikiPathways 20190910 WP2446 Homo sapiens	Pathway
Cytokines and Inflammatory Response WikiPathways 20190910 WP530 Homo sapiens	Cytokines and Inflammatory Response WikiPathways 20190910 WP530 Homo sapiens	Pathway
Focal Adhesion PI3K Akt mTOR signaling pathway WikiPathways 20190910 WP3932 Homo sapiens	Focal Adhesion PI3K Akt mTOR signaling pathway WikiPathways 20190910 WP3932 Homo sapiens	Pathway
Non small cell lung cancer WikiPathways 20190910 WP4255 Homo sapiens	Non small cell lung cancer WikiPathways 20190910 WP4255 Homo sapiens	Pathway
Type 2 papillary renal cell carcinoma WikiPathways 20190910 WP4241 Homo sapiens	Type 2 papillary renal cell carcinoma WikiPathways 20190910 WP4241 Homo sapiens	Pathway
Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	Oligodendrocyte Specification and differentiation including remyelination   leading to Myelin Components for CNS WikiPathways 20190910 WP4304 Homo sapiens	Pathway
 Control of immune tolerance by vasoactive intestinal peptide WikiPathways 20190910 WP4484 Homo sapiens	 Control of immune tolerance by vasoactive intestinal peptide WikiPathways 20190910 WP4484 Homo sapiens	Pathway
Selective expression of chemokine receptors during T cell polarization WikiPathways 20190910 WP4494 Homo sapiens	Selective expression of chemokine receptors during T cell polarization WikiPathways 20190910 WP4494 Homo sapiens	Pathway
Translation inhibitors in chronically activated PDGFRA cells WikiPathways 20190910 WP4566 Homo sapiens	Translation inhibitors in chronically activated PDGFRA cells WikiPathways 20190910 WP4566 Homo sapiens	Pathway
10200	MPHOSPH6	Gene
23517	MTREX	Gene
219988	PATL1	Gene
54512	EXOSC4	Gene
87178	PNPT1	Gene
23404	EXOSC2	Gene
6499	SKIV2L	Gene
22803	XRN2	Gene
56915	EXOSC5	Gene
9652	TTC37	Gene
11157	LSM6	Gene
51010	EXOSC3	Gene
51013	EXOSC1	Gene
23644	EDC4	Gene
4849	CNOT3	Gene
4848	CNOT2	Gene
54464	XRN1	Gene
5073	PARN	Gene
10438	C1D	Gene
10914	PAPOLA	Gene
1656	DDX6	Gene
55802	DCP1A	Gene
84186	ZCCHC7	Gene
2023	ENO1	Gene
4850	CNOT4	Gene
29883	CNOT7	Gene
11044	TENT4A	Gene
11340	EXOSC8	Gene
3313	HSPA9	Gene
27257	LSM1	Gene
246175	CNOT6L	Gene
118460	EXOSC6	Gene
51690	LSM7	Gene
51691	LSM8	Gene
9125	CNOT9	Gene
25804		Gene
23019	CNOT1	Gene
25904	CNOT10	Gene
23016	EXOSC7	Gene
27258	LSM3	Gene
22894	DIS3	Gene
2027	ENO3	Gene
2026	ENO2	Gene
57472	CNOT6	Gene
57819	LSM2	Gene
167227	DCP2	Gene
3329	HSPD1	Gene
5393	EXOSC9	Gene
5394	EXOSC10	Gene
80153	EDC3	Gene
28960	DCPS	Gene
56903	PAPOLB	Gene
196513	DCP1B	Gene
80349	WDR61	Gene
9337	CNOT8	Gene
64895	PAPOLG	Gene
1763	DNA2	Gene
56655	POLE4	Gene
54107	POLE3	Gene
5557	PRIM1	Gene
5558	PRIM2	Gene
57804	POLD4	Gene
5984	RFC4	Gene
5985	RFC5	Gene
6117	RPA1	Gene
5422	POLA1	Gene
6119	RPA3	Gene
10714	POLD3	Gene
79621	RNASEH2B	Gene
6118	RPA2	Gene
5111	PCNA	Gene
29935	RPA4	Gene
246243	RNASEH1	Gene
84153	RNASEH2C	Gene
4173	MCM4	Gene
5427	POLE2	Gene
4172	MCM3	Gene
4175	MCM6	Gene
4174	MCM5	Gene
23649	POLA2	Gene
4176	MCM7	Gene
5424	POLD1	Gene
5425	POLD2	Gene
10535	RNASEH2A	Gene
5426	POLE	Gene
5981	RFC1	Gene
5983	RFC3	Gene
5982	RFC2	Gene
4171	MCM2	Gene
2237	FEN1	Gene
3978	LIG1	Gene
6742	SSBP1	Gene
27030	MLH3	Gene
4292	MLH1	Gene
4436	MSH2	Gene
4437	MSH3	Gene
5395	PMS2	Gene
2956	MSH6	Gene
9156	EXO1	Gene
8438	RAD54L	Gene
7517	XRCC3	Gene
5890	RAD51B	Gene
4683	NBN	Gene
5893	RAD52	Gene
5892	RAD51D	Gene
7516	XRCC2	Gene
641	BLM	Gene
146956	EME1	Gene
5888	RAD51	Gene
10111	RAD50	Gene
5889	RAD51C	Gene
4361	MRE11	Gene
675	BRCA2	Gene
80198	MUS81	Gene
7156	TOP3A	Gene
25788	FSBP	Gene
7979	SEM1	Gene
8940	TOP3B	Gene
10344	CCL26	Gene
8741	TNFSF13	Gene
3082	HGF	Gene
6349	CCL3L1	Gene
8742	TNFSF12	Gene
943	TNFRSF8	Gene
8743	TNFSF10	Gene
6347	CCL2	Gene
944	TNFSF8	Gene
8744	TNFSF9	Gene
6348	CCL3	Gene
8740	TNFSF14	Gene
50615	IL21R	Gene
6352	CCL5	Gene
6351	CCL4	Gene
6357	CCL13	Gene
55540	IL17RB	Gene
6356	CCL11	Gene
6355	CCL8	Gene
6354	CCL7	Gene
608	TNFRSF17	Gene
8600	TNFSF11	Gene
51561	IL23A	Gene
1489	CTF1	Gene
2321	FLT1	Gene
6358	CCL14	Gene
2322	FLT3	Gene
6359	CCL15	Gene
2323	FLT3LG	Gene
2324	FLT4	Gene
50616	IL22	Gene
939	CD27	Gene
6362	CCL18	Gene
6361	CCL17	Gene
6364	CCL20	Gene
6363	CCL19	Gene
6366	CCL21	Gene
6368	CCL23	Gene
6367	CCL22	Gene
7173	TPO	Gene
6360	CCL16	Gene
1437	CSF2	Gene
1436	CSF1R	Gene
115650	TNFRSF13C	Gene
3597	IL13RA1	Gene
1435	CSF1	Gene
5618	PRLR	Gene
5617	PRL	Gene
8764	TNFRSF14	Gene
338376	IFNE	Gene
6369	CCL24	Gene
1439	CSF2RB	Gene
1438	CSF2RA	Gene
7042	TGFB2	Gene
7040	TGFB1	Gene
6376	CX3CL1	Gene
149233	IL23R	Gene
6375	XCL1	Gene
6374	CXCL5	Gene
6373	CXCL11	Gene
6372	CXCL6	Gene
729230	CCR2	Gene
6370	CCL25	Gene
1440	CSF3	Gene
7048	TGFBR2	Gene
7046	TGFBR1	Gene
4233	MET	Gene
7043	TGFB3	Gene
2833	CXCR3	Gene
1441	CSF3R	Gene
23529	CLCF1	Gene
27190	IL17B	Gene
6387	CXCL12	Gene
2826	CCR10	Gene
9180	OSMR	Gene
2829	XCR1	Gene
50604	IL20	Gene
83729	INHBE	Gene
80301	PLEKHO2	Gene
3627	CXCL10	Gene
4352	MPL	Gene
10850	CCL27	Gene
3625	INHBB	Gene
3626	INHBC	Gene
163702	IFNLR1	Gene
3624	INHBA	Gene
4254	KITLG	Gene
55504	TNFRSF19	Gene
7852	CXCR4	Gene
7850	IL1R2	Gene
3815	KIT	Gene
970	CD70	Gene
4982	TNFRSF11B	Gene
3953	LEPR	Gene
10663	CXCR6	Gene
84957	RELT	Gene
3952	LEP	Gene
29949	IL19	Gene
4049	LTA	Gene
3605	IL17A	Gene
3606	IL18	Gene
3604	TNFRSF9	Gene
5008	OSM	Gene
8200	GDF5	Gene
3601	IL15RA	Gene
3600	IL15	Gene
10563	CXCL13	Gene
4050	LTB	Gene
8718	TNFRSF25	Gene
4055	LTBR	Gene
58985	IL22RA1	Gene
959	CD40LG	Gene
958	CD40	Gene
2690	GHR	Gene
8807	IL18RAP	Gene
4283	CXCL9	Gene
23765	IL17RA	Gene
2688	GH1	Gene
3976	LIF	Gene
2689	GH2	Gene
3977	LIFR	Gene
8809	IL18R1	Gene
7292	TNFSF4	Gene
7293	TNFRSF4	Gene
1524	CX3CR1	Gene
414062	CCL3L1	Gene
5159	PDGFRB	Gene
1896	EDA	Gene
9547	CXCL14	Gene
3552	IL1A	Gene
10913	EDAR	Gene
11009	IL24	Gene
1270	CNTF	Gene
1271	CNTFR	Gene
10673	TNFSF13B	Gene
56034	PDGFC	Gene
7422	VEGFA	Gene
7424	VEGFC	Gene
7423	VEGFB	Gene
10803	CCR9	Gene
4804	NGFR	Gene
116379	IL22RA2	Gene
5154	PDGFA	Gene
94	ACVRL1	Gene
5155	PDGFB	Gene
9560	CCL4L2	Gene
93	ACVR2B	Gene
5156	PDGFRA	Gene
92	ACVR2A	Gene
91	ACVR1B	Gene
90	ACVR1	Gene
2277	VEGFD	Gene
23495	TNFRSF13B	Gene
64806	IL25	Gene
9966	TNFSF15	Gene
2056	EPO	Gene
3581	IL9R	Gene
2919	CXCL1	Gene
7124	TNF	Gene
643	CXCR5	Gene
3442	IFNA5	Gene
3441	IFNA4	Gene
3440	IFNA2	Gene
8771	TNFRSF6B	Gene
3439	IFNA1	Gene
3579	CXCR2	Gene
3577	CXCR1	Gene
3578	IL9	Gene
56477	CCL28	Gene
3575	IL7R	Gene
3576	CXCL8	Gene
3594	IL12RB1	Gene
3593	IL12B	Gene
3596	IL13	Gene
3595	IL12RB2	Gene
3590	IL11RA	Gene
3592	IL12A	Gene
3791	KDR	Gene
7133	TNFRSF1B	Gene
3451	IFNA17	Gene
7132	TNFRSF1A	Gene
3452	IFNA21	Gene
8784	TNFRSF18	Gene
3443	IFNA6	Gene
1232	CCR3	Gene
51330	TNFRSF12A	Gene
3444	IFNA7	Gene
1233	CCR4	Gene
3445	IFNA8	Gene
1234	CCR5	Gene
3446	IFNA10	Gene
1235	CCR6	Gene
3447	IFNA13	Gene
1236	CCR7	Gene
3448	IFNA14	Gene
1237	CCR8	Gene
3449	IFNA16	Gene
55801	IL26	Gene
58191	CXCL16	Gene
3586	IL10	Gene
60401	EDA2R	Gene
3587	IL10RA	Gene
3588	IL10RB	Gene
2057	EPOR	Gene
3589	IL11	Gene
3563	IL3RA	Gene
3562	IL3	Gene
3561	IL2RG	Gene
1956	EGFR	Gene
3560	IL2RB	Gene
1230	CCR1	Gene
6846	XCL2	Gene
3460	IFNGR2	Gene
1950	EGF	Gene
6346	CCL1	Gene
8797	TNFRSF10A	Gene
3458	IFNG	Gene
3459	IFNGR1	Gene
8793	TNFRSF10D	Gene
3456	IFNB1	Gene
8792	TNFRSF11A	Gene
8795	TNFRSF10B	Gene
3454	IFNAR1	Gene
8794	TNFRSF10C	Gene
3455	IFNAR2	Gene
3556	IL1RAP	Gene
3553	IL1B	Gene
269	AMHR2	Gene
3554	IL1R1	Gene
268	AMH	Gene
3559	IL2RA	Gene
53833	IL20RB	Gene
59067	IL21	Gene
8995	TNFSF18	Gene
3558	IL2	Gene
53832	IL20RA	Gene
659	BMPR2	Gene
657	BMPR1A	Gene
3570	IL6R	Gene
658	BMPR1B	Gene
64109	CRLF2	Gene
3572	IL6ST	Gene
56832	IFNK	Gene
3574	IL7	Gene
5196	PF4	Gene
2920	CXCL2	Gene
2921	CXCL3	Gene
650	BMP2	Gene
5197	PF4V1	Gene
655	BMP7	Gene
282617	IFNL3	Gene
282618	IFNL1	Gene
27242	TNFRSF21	Gene
355	FAS	Gene
282616	IFNL2	Gene
356	FASLG	Gene
3467	IFNW1	Gene
5473	PPBP	Gene
85480	TSLP	Gene
3565	IL4	Gene
3566	IL4R	Gene
3567	IL5	Gene
3568	IL5RA	Gene
3569	IL6	Gene
8881	CDC16	Gene
8317	CDC7	Gene
8318	CDC45	Gene
4616	GADD45B	Gene
10926	DBF4	Gene
64682	ANAPC1	Gene
1387	CREBBP	Gene
4193	MDM2	Gene
25	ABL1	Gene
27127	SMC1B	Gene
10912	GADD45G	Gene
472	ATM	Gene
545	ATR	Gene
51434	ANAPC7	Gene
5934	RBL2	Gene
51433	ANAPC5	Gene
5933	RBL1	Gene
4609	MYC	Gene
8555	CDC14B	Gene
8243	SMC1A	Gene
8556	CDC14A	Gene
6500	SKP1	Gene
1647	GADD45A	Gene
10274	STAG1	Gene
5347	PLK1	Gene
9978	RBX1	Gene
10735	STAG2	Gene
23594	ORC6	Gene
595	CCND1	Gene
8379	MAD1L1	Gene
7529	YWHAB	Gene
890	CCNA2	Gene
699	BUB1	Gene
1111	CHEK1	Gene
494551	WEE2	Gene
9232	PTTG1	Gene
996	CDC27	Gene
994	CDC25B	Gene
995	CDC25C	Gene
993	CDC25A	Gene
990	CDC6	Gene
991	CDC20	Gene
9184	BUB3	Gene
7534	YWHAZ	Gene
894	CCND2	Gene
7533	YWHAH	Gene
891	CCNB1	Gene
