ensembl_gene_id	hgnc_symbol	entrezgene_id
350	ENSG00000179583	CIITA	4261
352	ENSG00000065427	KARS1	3735
355	ENSG00000072736	NFATC3	4775
362	ENSG00000124391	IL17C	27189
363	ENSG00000051523	CYBA	1535
364	ENSG00000261701	HPR	3250
366	ENSG00000257017	HP	3240
369	ENSG00000102871	TRADD	8717
375	ENSG00000103037	SETD6	79918
378	ENSG00000179776	CDH5	1003
379	ENSG00000213658	LAT	27040
382	ENSG00000102962	CCL22	6367
385	ENSG00000006210	CX3CL1	6376
389	ENSG00000102970	CCL17	6361
390	ENSG00000069329	VPS35	55737
392	ENSG00000121281	ADCY7	113
393	ENSG00000140795	MYLK3	91807
394	ENSG00000083799	CYLD	1540
395	ENSG00000167207	NOD2	64127
398	ENSG00000103490	PYCARD	29108
399	ENSG00000167984	NLRC3	197358
403	ENSG00000103313	MEFV	4210
419	ENSG00000186868	MAPT	4137
422	ENSG00000275152	CCL16	6360
424	ENSG00000276409	CCL14	6358
425	ENSG00000275718	CCL15	6359
429	ENSG00000274736	CCL23	6368
432	ENSG00000275385	CCL18	6362
433	ENSG00000161940	BCL6B	255877
435	ENSG00000275302	CCL4	6351
437	ENSG00000277632	CCL3	6348
444	ENSG00000082641	NFE2L1	4779
446	ENSG00000276085	CCL3L1	6349
448	ENSG00000276085	CCL3L3	6349
450	ENSG00000276085	CCL3L1	414062
452	ENSG00000276085	CCL3L3	414062
455	ENSG00000276070	CCL4L2	9560
457	ENSG00000276070	CCL4L2	388372
458	ENSG00000176358	TAC4	255061
464	ENSG00000168961	LGALS9	3965
466	ENSG00000030582	GRN	2896
476	ENSG00000161905	ALOX15	246
478	ENSG00000108840	HDAC5	10014
479	ENSG00000131471	AOC3	8639
480	ENSG00000108691	CCL2	6347
484	ENSG00000108688	CCL7	6354
486	ENSG00000172156	CCL11	6356
489	ENSG00000108700	CCL8	6355
491	ENSG00000181374	CCL13	6357
493	ENSG00000007171	NOS2	4843
494	ENSG00000108702	CCL1	6346
496	ENSG00000271503	CCL5	6352
500	ENSG00000166484	MAPK7	5598
505	ENSG00000091592	NLRP1	22861
515	ENSG00000134489	HRH4	59340
523	ENSG00000006638	TBXA2R	6915
526	ENSG00000171903	CYP4F11	57834
527	ENSG00000130203	APOE	348
532	ENSG00000104856	RELB	5971
538	ENSG00000160013	PTGIR	5739
540	ENSG00000197405	C5AR1	728
543	ENSG00000134830	C5AR2	27202
553	ENSG00000131142	CCL25	6370
558	ENSG00000123146	ADGRE5	976
559	ENSG00000142511	GPR32	2854
562	ENSG00000160951	PTGER1	5731
563	ENSG00000105372	RPS19	6223
564	ENSG00000142512	SIGLEC10	89790
565	ENSG00000187474	FPR3	2359
566	ENSG00000171049	FPR2	2358
570	ENSG00000171051	FPR1	2357
572	ENSG00000189377	CXCL17	284340
574	ENSG00000141965	FEM1A	55527
577	ENSG00000141867	BRD4	23476
578	ENSG00000142405	NLRP12	91662
581	ENSG00000187116	LILRA5	353514
584	ENSG00000167634	NLRP7	199713
587	ENSG00000064932	SBNO2	22904
595	ENSG00000172232	AZU1	566
598	ENSG00000197561	ELANE	1991
604	ENSG00000115353	TACR1	6869
610	ENSG00000115226	FNDC4	64838
613	ENSG00000115009	CCL20	6364
616	ENSG00000068024	HDAC4	9759
619	ENSG00000115718	PROC	5624
623	ENSG00000115594	IL1R1	3554
625	ENSG00000115598	IL1RL2	8808
628	ENSG00000180871	CXCR2	3579
631	ENSG00000115607	IL18RAP	8807
635	ENSG00000054219	LY75	4065
639	ENSG00000121966	CXCR4	7852
640	ENSG00000123609	NMI	9111
642	ENSG00000123610	TNFAIP6	7130
647	ENSG00000162924	REL	5966
649	ENSG00000115008	IL1A	3552
651	ENSG00000125538	IL1B	3553
658	ENSG00000125571	IL37	27178
661	ENSG00000136688	IL36G	56300
663	ENSG00000136694	IL36A	27179
665	ENSG00000136696	IL36B	27177
668	ENSG00000136695	IL36RN	26525
670	ENSG00000136697	IL1F10	84639
672	ENSG00000136689	IL1RN	3557
673	ENSG00000118640	VAMP8	8673
676	ENSG00000115318	LOXL3	84695
678	ENSG00000171951	SCG2	7857
682	ENSG00000124212	PTGIS	5740
683	ENSG00000158480	SPATA2	9825
684	ENSG00000172216	CEBPB	1051
686	ENSG00000100985	MMP9	4318
690	ENSG00000101017	CD40	958
692	ENSG00000101336	HCK	3055
697	ENSG00000198053	SIRPA	140885
702	ENSG00000129988	LBP	3929
712	ENSG00000243646	IL10RB	3588
714	ENSG00000142192	APP	351
717	ENSG00000184979	USP18	11274
719	ENSG00000099977	DDT	1652
720	ENSG00000099977	DDT	100037417
721	ENSG00000128284	APOL3	80833
722	ENSG00000099998	GGT5	2687
724	ENSG00000128271	ADORA2A	135
728	ENSG00000286070	GGT1	2678
730	ENSG00000100031	GGT1	2678
731	ENSG00000099985	OSM	5008
733	ENSG00000100292	HMOX1	3162
737	ENSG00000133475	GGT2	728441
738	ENSG00000186951	PPARA	5465
752	ENSG00000239732	TLR9	54106
754	ENSG00000163661	PTX3	5806
758	ENSG00000134070	IRAK2	3656
759	ENSG00000186792	HYAL3	8372
760	ENSG00000157017	GHRL	51738
762	ENSG00000114378	HYAL1	3373
764	ENSG00000114383	TUSC2	11334
766	ENSG00000068001	HYAL2	8692
768	ENSG00000175040	CHST2	9435
771	ENSG00000114861	FOXP1	27086
772	ENSG00000114251	WNT5A	7474
775	ENSG00000196083	IL1RAP	3556
776	ENSG00000144802	NFKBIZ	64332
779	ENSG00000183813	CCR4	1233
782	ENSG00000253548	PYDC2	152138
784	ENSG00000173578	XCR1	2829
786	ENSG00000163823	CCR1	1230
789	ENSG00000183625	CCR3	1232
793	ENSG00000121807	CCR2	729230
796	ENSG00000160791	CCR5	1234
799	ENSG00000121797	CCRL2	9034
801	ENSG00000144891	AGTR1	185
804	ENSG00000189058	APOD	347
808	ENSG00000121853	GHSR	2693
815	ENSG00000074416	MGLL	11343
817	ENSG00000145192	AHSG	197
823	ENSG00000172936	MYD88	4615
829	ENSG00000055955	ITIH4	3700
833	ENSG00000132170	PPARG	5468
839	ENSG00000163932	PRKCD	5580
842	ENSG00000196776	CD47	961
845	ENSG00000196639	HRH1	3269
847	ENSG00000113916	BCL6	604
848	ENSG00000168297	PXK	54899
849	ENSG00000114520	SNX4	8723
852	ENSG00000138755	CXCL9	4283
859	ENSG00000169245	CXCL10	3627
862	ENSG00000169248	CXCL11	6373
865	ENSG00000164342	TLR3	7098
868	ENSG00000164344	KLKB1	3818
869	ENSG00000109320	NFKB1	4790
873	ENSG00000169429	CXCL8	3576
875	ENSG00000124875	CXCL6	6372
876	ENSG00000109272	PF4V1	5197
878	ENSG00000163739	CXCL1	2919
880	ENSG00000163737	PF4	5196
881	ENSG00000163736	PPBP	5473
882	ENSG00000163735	CXCL5	6374
884	ENSG00000163734	CXCL3	2921
886	ENSG00000081041	CXCL2	2920
888	ENSG00000109743	BST1	683
890	ENSG00000156234	CXCL13	10563
892	ENSG00000145335	SNCA	6622
899	ENSG00000137462	TLR2	7097
902	ENSG00000109471	IL2	3558
904	ENSG00000138684	IL21	59067
910	ENSG00000164022	AIMP1	9255
912	ENSG00000109205	ODAM	54959
913	ENSG00000164136	IL15	3600
917	ENSG00000174123	TLR10	81793
920	ENSG00000174130	TLR6	10333
922	ENSG00000174125	TLR1	7096
928	ENSG00000131187	F12	2161
929	ENSG00000145777	TSLP	85480
934	ENSG00000154124	OTULIN	90268
939	ENSG00000170458	CD14	929
942	ENSG00000113302	IL12B	3593
944	ENSG00000169194	IL13	3596
947	ENSG00000113525	IL5	3567
951	ENSG00000113520	IL4	3565
956	ENSG00000181104	F2R	2149
957	ENSG00000171522	PTGER4	5734
962	ENSG00000145708	CRHBP	1393
963	ENSG00000145839	IL9	3578
965	ENSG00000182578	CSF1R	1436
968	ENSG00000181751	MACIR	90355
972	ENSG00000198961	PJA2	9867
974	ENSG00000129596	CDO1	1036
976	ENSG00000134352	IL6ST	3572
978	ENSG00000151388	ADAMTS12	81792
980	ENSG00000082196	C1QTNF3	114899
982	ENSG00000145623	OSMR	9180
989	ENSG00000204305	AGER	177
994	ENSG00000112115	IL17A	3605
997	ENSG00000213654	GPSM3	63940
1008	ENSG00000204592	HLA-E	3133
1011	ENSG00000204574	ABCF1	23
1016	ENSG00000232810	TNF	7124
1028	ENSG00000095970	TREM2	54209
1034	ENSG00000146216	TTBK1	84630
1036	ENSG00000112033	PPARD	5467
1039	ENSG00000177684	DEFB114	245928
1040	ENSG00000146070	PLA2G7	7941
1046	ENSG00000196126	HLA-DRB1	3123
1047	ENSG00000112062	MAPK14	1432
1048	ENSG00000156711	MAPK13	5603
1053	ENSG00000106100	NOD1	10392
1055	ENSG00000169902	TPST1	8460
1059	ENSG00000136238	RAC1	5879
1061	ENSG00000136244	IL6	3569
1064	ENSG00000135218	CD36	948
1068	ENSG00000105851	PIK3CG	5294
1072	ENSG00000174697	LEP	3952
1073	ENSG00000106366	SERPINE1	5054
1082	ENSG00000006606	CCL26	10344
1084	ENSG00000106178	CCL24	6369
1086	ENSG00000048052	HDAC9	9734
1087	ENSG00000006128	TAC1	6863
1091	ENSG00000164850	GPER1	2852
1096	ENSG00000147571	CRH	1392
1099	ENSG00000104312	RIPK2	8767
1100	ENSG00000120885	CLU	1191
1104	ENSG00000104365	IKBKB	3551
1113	ENSG00000175445	LPL	4023
1118	ENSG00000147324	MFHAS1	9258
1121	ENSG00000104415	CCN4	8840
1131	ENSG00000213694	S1PR3	1903
1132	ENSG00000213694	S1PR3	286223
1136	ENSG00000096968	JAK2	3717
1139	ENSG00000172724	CCL19	6363
1142	ENSG00000137077	CCL21	6366
1146	ENSG00000137033	IL33	90865
1152	ENSG00000106804	C5	727
1155	ENSG00000135046	ANXA1	301
1158	ENSG00000228278	ORM2	5005
1160	ENSG00000229314	ORM1	5004
1164	ENSG00000086102	NFX1	4799
1166	ENSG00000136826	KLF4	9314
1173	ENSG00000120156	TEK	7010
1174	ENSG00000136869	TLR4	7099
1180	ENSG00000188379	IFNA2	3440
1196	ENSG00000269335	IKBKG	8517
1200	ENSG00000165168	CYBB	1536
1201	ENSG00000101966	XIAP	331
1203	ENSG00000130234	ACE2	59272
1205	ENSG00000180772	AGTR2	186
1209	ENSG00000124333	VAMP7	6845
1211	ENSG00000102245	CD40LG	959
1214	ENSG00000196664	TLR7	51284
1217	ENSG00000205542	TMSB4X	7114
1218	ENSG00000007952	NOX1	27035
